IMDB,Name,Runtime (mins),Genre,Rating,Votes,Description,Stars,Release_year,End_year,Episodes,Seasons,Distributor,Genres,Story
2802850,Fargo,53.0,"Crime, Drama, Thriller            ",8.9,326358,"    Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks",2014, ,41,4,FX Network,"Crime ,Drama ,Thriller","The all new ""true crime"" case of Fargo's new chapter travels back to 1979 in Sioux Falls, South Dakota and Luverne, Minnesota, where a young State Police Officer Lou Solverson, recently back from Vietnam, investigates a case involving a local crime gang and a major Mob syndicate. Helping him piece things together is his father-in-law, Sheriff Hank Larsson. The investigation will lead them to a colorful cast of characters that includes Karl Weathers, the town lawyer of Luverne, Minnesota. A Korean War vet, Karl is a flowery drunk blessed with the gift of gab and the eloquence of a true con artist. Joe Bulo, the front man for the northern expansion of a Kansas City crime syndicate. The new face of corporate crime, Joe's bringing a Walmart mentality to small town America. His number two is Mike Milligan. Part enforcer, part detective, Mike is always smiling - but the joke is usually on you. Bulo and his crew have their sights set on the Gerhardt crime family in Fargo, currently led by ..."
8068860,Servant,30.0,"Drama, Horror, Mystery            ",7.6,18561,    A Philadelphia couple is in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.,"Lauren Ambrose, Toby Kebbell, Nell Tiger Free, Rupert Grint",2019, ,21,3,Apple TV+,"Drama ,Horror ,Mystery ,Thriller",A Philadelphia couple is in mourning after an unspeakable tragedy creates a rift in their marriage and opens the door for a mysterious force to enter their home.
5171438,Star Trek: Discovery,60.0,"Action, Adventure, Drama            ",7.2,95564,"    Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.","Sonequa Martin-Green, Doug Jones, Anthony Rapp, Mary Wiseman",2017, ,43,4,CBS All Access,"Action ,Adventure ,Drama ,Sci-Fi","Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien."
6470478,The Good Doctor,41.0,Drama            ,8.2,62366,"    Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","Freddie Highmore, Antonia Thomas, Hill Harper, Richard Schiff",2017, ,65,4,American Broadcasting Company,Drama,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital surgical unit. Alone in the world and unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues."
3032476,Better Call Saul,46.0,"Crime, Drama            ",8.7,322001,"    The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian",2015,2021,63,6,American Movie Classics,"Crime ,Drama","Before Saul Goodman, he was Jimmy McGill. And if you're calling Jimmy, you're in real trouble. The prequel to ""Breaking Bad"" follows small-time attorney Jimmy McGill as he transforms into Walter White's morally challenged lawyer, Saul Goodman."
7235466,9-1-1,43.0,"Action, Drama, Thriller            ",7.7,20817,"    Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking and heart-stopping situations.","Angela Bassett, Peter Krause, Oliver Stark, Aisha Hinds",2018, ,51,4,Fox Network,"Action ,Drama ,Thriller","Explores the high-pressure experiences of police, paramedics and firefighters who are thrust into the most frightening, shocking and heart-stopping situations. They must try to balance saving people with solving problems in their own lives."
5460226,Search Party,24.0,"Comedy, Crime, Drama            ",7.6,5838,    Search Party is a dark comedy about four self-absorbed twenty-somethings who become entangled in an ominous mystery when a former college acquaintance suddenly disappears.,"Alia Shawkat, John Reynolds, John Early, Meredith Hagner",2016, ,40,4,Turner Broadcasting System,"Comedy ,Crime ,Drama ,Mystery ,Romance ,Thriller","Dory (Alia Shawkat), Portia (Meredith Hagner), Elliott (John Early) and Drew (John Reynolds) must deal with the disastrous consequences of successfully tracking down missing classmate Chantal (Clare McNulty) in season two of TBS' dark comedy Search Party, returning Sunday, November 19. As the friends' paranoia grows, their relationships fray, and it becomes increasingly difficult to trust that no one will discover the group's secret. These privileged, self-absorbed 20-somethings are in danger."
7569592,Chilling Adventures of Sabrina,60.0,"Drama, Fantasy, Horror            ",7.5,76718,"    As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.","Kiernan Shipka, Ross Lynch, Lucy Davis, Chance Perdomo",2018,2020,36,4,Netflix,"Drama ,Fantasy ,Horror ,Mystery ,Thriller","Reimagines the origin and adventures of Sabrina: the Teenage Witch as a dark coming-of-age story that traffics in horror, the occult and, of course, witchcraft. Tonally in the vein of Rosemary's Baby and The Exorcist, this adaptation finds Sabrina Spellman wrestling to reconcile her dual nature - half-witch, half-mortal - while standing against the evil forces that threaten her, her family and the daylight world humans inhabit."
5363918,Disenchantment,30.0,"Animation, Action, Adventure            ",7.2,46071,"    Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous.","Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio",2018, ,40,4,Netflix,"Animation ,Action ,Adventure ,Comedy ,Fantasy","Princess Tiabeanie, 'Bean', is about to be married to Prince Merkimer. It is an arranged marriage and Bean isn't too happy about it. She is fun loving and free spirited and marriage is the last thing she wants to preoccupy herself with. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous."
1632701,Suits,44.0,"Comedy, Drama            ",8.5,362604,"    On the run from a drug deal gone bad, brilliant college dropout Mike Ross, finds himself working with Harvey Specter, one of New York City's best lawyers.","Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty",2011,2019,134,9,USA Network,"Comedy ,Drama","While running from a drug deal gone bad, brilliant young college dropout Mike Ross slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law-school grads, Harvey takes a gamble by hiring Mike on the spot after recognizing his raw talent and photographic memory. Mike and Harvey are a winning team. Although Mike is a genius, he still has a lot to learn about law; and while Harvey might seem like an emotionless, cold-blooded shark, Mike's sympathy and concern for their cases and clients will help remind Harvey why he went into law in the first place. Mike's other allies in the office include the firm's best paralegal Rachel and Harvey's no-nonsense assistant Donna. Proving to be an irrepressible duo and invaluable to the practice, Mike and Harvey must keep their secret from everyone including managing partner Jessica and Harvey's archnemesis Louis, who seems intent on making Mike's life as difficult as possible."
