IMDB,Name,Runtime (mins),Genre,Rating,Votes,Description,Stars,Release_year,End_year,Episodes,Seasons,Distributor,Genres,Story
9612516,Space Force,30.0,Comedy            ,6.8,44870,    The people tasked with creating a sixth branch of the armed services: The Space Force.,"Steve Carell, John Malkovich, Ben Schwartz, Diana Silvers",2020, ,20,2,Netflix,Comedy,The people tasked with creating a sixth branch of the armed services: The Space Force.
5932548,Britannia,60.0,"Action, Drama, Fantasy            ",6.8,12106,"    In 43 AD, the Roman Army returns to crush the Celtic heart of Britannia.","Gianni Calchetti, Mackenzie Crook, David Morrissey, Nikolaj Lie Kaas",2017, ,24,3,Amazon Studios,"Action ,Drama ,Fantasy","In 43 AD, the Roman Army - determined and terrified in equal measure - returns to crush the Celtic heart of Britannia - a mysterious land ruled by warrior women and powerful druids who can channel the powerful forces of the underworld. Or so they say."
7529770,Miracle Workers,22.0,"Comedy, Drama, Fantasy            ",7.0,9288,"    A comedy set in the offices of Heaven Inc. When God plans to destroy the Earth, two low-level angels must convince their boss to save humanity. They bet him they can pull off their most impossible miracle yet: help two humans fall in love.","Daniel Radcliffe, Geraldine Viswanathan, Karan Soni, Steve Buscemi",2019, ,19,3,Turner Broadcasting System,"Comedy ,Drama ,Fantasy ,Romance","The first season of anthology series Miracle Workers will be a Heaven-set workplace comedy based on Simon Rich's book ""What in God's Name"", starring Daniel Radcliffe, Steve Buscemi, Geraldine Viswanathan, and Karan Soni. Radcliffe will play Craig, a low-level angel responsible for handling all of humanity's prayers, and Steve Buscemi will play Craig's boss God, who has pretty much checked out and is ready to move on to his next project. To prevent Earth's destruction, Craig and fellow angel Eliza (Geraldine Viswanathan) must answer a seemingly unanswerable prayer: help two humans fall in love. 'Miracle Workers' is created by 'Man Seeking Woman' creator Simon Rich and executive produced by Lorne Michaels and Andrew Singer of Michaels' Broadway Video, Simon Rich, Daniel Radcliffe and Steve Buscemi. Broadway Video produces the series in association with Turner's Studio T."
8879940,Mythic Quest: Raven's Banquet,30.0,Comedy            ,7.6,8557,    The owner of a successful video game design company and his troubled staff struggle to keep their hit game 'Mythic Quest' on top.,"Rob McElhenney, Charlotte Nicdao, Ashly Burch, Jessie Ennis",2020, ,11,2,Apple TV+,Comedy,The owner of a successful video game design company and his troubled staff struggle to keep their hit game 'Mythic Quest' on top.
7612548,The Outpost,44.0,"Action, Adventure, Drama            ",6.1,5453,"    Talon, the lone survivor of the Blackbloods, sets off to track her family's killers, and discovers her supernatural powers, which she must learn to harness.","Jessica Green, Jake Stormoen, Anand Desai-Barochia, Imogen Waterhouse",2018, ,49,4,Electric Entertainment,"Action ,Adventure ,Drama ,Fantasy","Talon, the lone survivor of the Blackbloods, sets off to track her family's killers, and discovers her supernatural powers, which she must learn to harness."
7562112,Pose,60.0,Drama            ,8.6,19095,"    In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism in the age of Trump.","Mj Rodriguez, Dominique Jackson, Indya Moore, Angel Bismark Curiel",2018, ,23,3,FX Network,Drama,"Set in the 1980s, 'Pose' is a dance musical that explores the juxtaposition of several segments of life and society in New York: the ball culture world, the rise of the luxury Trump-era universe, and the downtown social and literary scene. Blanca forms a 'house', a self-selected family that provides support to LGBTQ youth who have been rejected by their birth families. Damon is a dancer who joins Blanca's house. Together, they compete in the balls -- where house members challenge each other in various categories and are judged on their outfits, attitude, or dance skills -- against Blanca's former house mother, Elektra. Pray Tell is Godfather to the children who compete in the balls. Angel is a streetwalker who develops feelings for a new client, Stan, who has a loving wife, Patty. James Van Der Beek co-stars as Stan's boss, Matt."
4834206,A Series of Unfortunate Events,50.0,"Adventure, Comedy, Drama            ",7.8,53703,"    After the loss of their parents in a mysterious fire, the three Baudelaire children face trials and tribulations attempting to uncover dark family secrets.","Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes",2017,2019,25,3,Netflix,"Adventure ,Comedy ,Drama ,Family ,Mystery","After the Baudelaire parents die in a terrible fire, the Baudelaire orphans search for their families secrets and get them and their fortune away from the terrible grasp of the sinister Count Olaf as he moves with them between different guardians in disguise."
7255502,The Kominsky Method,30.0,"Comedy, Drama            ",8.2,24035,"    An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.","Michael Douglas, Alan Arkin, Sarah Baker, Nancy Travis",2018, ,24,3,Warner Bros. Television,"Comedy ,Drama","Michael Douglas plays an actor who made it big a long time ago and who now is an acting coach at his studio named after himself, ""The Kominsky Method."" His best friend and agent loses his wife to cancer, which leaves both of them questioning their existence as they struggle through choices and relationships, old and new. As Kominsky teaches a class to actors he meets a woman whom he has deep feelings for, but lacks the skills to make a relationship work. Meanwhile his agent struggles with the pain of his wife's death and a drug addicted daughter. Throughout the series it becomes clear that their advanced age has challenges that neither one knows how to overcome, and as they keep onboard this train of life, which is closer to death then ever before, they learn to navigate their way through pain and character growth and set backs."
1132290,Warehouse 13,43.0,"Drama, Mystery, Sci-Fi            ",7.6,46907,"    Pete and Myka, U.S Secret Service agents, are deployed in South Dakota's Warehouse 13 with a new assignment from an authority above and outside the government.","Eddie McClintock, Joanne Kelly, Saul Rubinek, Allison Scagliotti",2009,2014,64,5,Syfy,"Drama ,Mystery ,Sci-Fi ,Thriller","After saving the life of the President in Washington D.C., a pair of U.S Secret Service agents are whisked away to a covert location in South Dakota that houses supernatural objects that the Regents, an Authority above and outside any government, have collected over the centuries. Their new assignment: retrieve lost objects called ""Artifacts"", seemingly harmless items that can possess immense power, and investigate reports of new ones."
4643084,Counterpart,60.0,"Drama, Sci-Fi, Thriller            ",8.1,21818,"    A hapless UN employee discovers that the agency he works for is hiding a gateway to a parallel dimension that's in a cold war with our own, and where his other self is a top spy. The war slowly heats up thanks to spies from both sides.","J.K. Simmons, Olivia Williams, Harry Lloyd, Nazanin Boniadi",2017,2019,20,2,Starz!,"Drama ,Sci-Fi ,Thriller","Counterpart is about a mysterious world hidden beneath the surface of our everyday existence. Howard Silk is a lowly cog in the bureaucratic machinery of a Berlin-based United Nations spy agency. When Howard discovers that his organization safeguards the secret of a crossing into a parallel dimension, he is thrust into a shadow world of intrigue, danger, and double cross - where the only man he can trust is his near-identical counterpart from this parallel world. The show explores themes of identity, fate and lost love, posing the eternal question, ""what if our lives could have been different?"""
2891574,Ballers,30.0,"Comedy, Drama, Sport            ",7.6,38015,"    A series centered around a group of football players and their families, friends and handlers.","Dwayne Johnson, John David Washington, Donovan W. Carter, Troy Garity",2015,2019,47,5,Home Box Office,"Comedy ,Drama ,Sport","Ballers is a half-hour comedy series starring Dwayne ""The Rock"" Johnson. Looking at the lives of former and current football players, the show follows former superstar Spencer Strasmore as he gets his life on track in retirement while mentoring other current and former players through the daily grind of the business of football."
6964748,Alex Rider,45.0,"Action, Adventure, Family            ",7.5,8095,"    Alex Rider is an ordinary teenager enlisted to work on behalf of MI6, where he uses skills he didn't know he had to become an extraordinary spy.","Otto Farrant, Ronke Adekoluejo, Brenock O'Connor, Vicky McClure",2020, ,9,2,IMDb TV,"Action ,Adventure ,Family ,Thriller","When Alex Rider learns that his uncle Ian has been killed in the line of duty as a British spy - and not in a car accident like he's been told - everything changes for this otherwise normal teen. He is approached by Alan Blunt, head of a shadowy offshoot of MI6 known as The Department, who reveals that Alex has been unknowingly trained since childhood for the dangerous world of espionage. Pressured to help investigate his uncle's death - and how it connects to the assassination of two high-profile billionaires - Alex reluctantly assumes a new identity and goes undercover in a remote boarding school called Point Blanc. Isolated far above the snowline in the French Alps, Point Blanc claims to set the troubled teenage children of the ultra-rich back onto the right track. But as he digs deeper, Alex discovers that the students are in fact the subjects of a disturbing plan by the mysterious Doctor Greif - a plan which he will have to risk his life to stop."
1236246,Runaways,60.0,"Action, Drama, Sci-Fi            ",7.0,21991,"    After discovering their parents are super-villains in disguise, a group of teenagers band together to run away from their homes in order to atone for their parents' actions and to discover the secrets of their origins.","Rhenzy Feliz, Lyrica Okano, Virginia Gardner, Ariela Barer",2017,2019,33,3,Freeform,"Action ,Drama ,Sci-Fi","Follows a group of six teenagers in the Marvel universe - Nico Minoru, Karolina Dean, Molly Hernandez, Chase Stein, Alex Wilder, and Gertrude Yorkes - who discover that their parents are secretly members of a super-villain cabal called The Pride. After deciding they're no longer safe in their own homes, the kids go on the run. In the midst of hiding from their elders, the teens learn about themselves and become a family of their own."
0402711,Boston Legal,44.0,"Comedy, Crime, Drama            ",8.4,42448,"    Boston Legal is a spin-off of the long-running David E. Kelley series The Practice (1997), following the exploits of former Practice character Alan Shore (James Spader) at the legal firm of Crane, Poole, and Schmidt.","James Spader, William Shatner, Candice Bergen, Rene Auberjonois",2004,2008,101,5,American Broadcasting Company,"Comedy ,Crime ,Drama","Ethically-challenged attorney Alan Shore, formerly of Young, Frutt & Berluti, settles in at a wealthy and powerful firm focusing on civil cases. With some help from his friend and mentor, veteran attorney Denny Crane, Shore quickly makes his mark winning cases no one would take, often using less than honest methods. In doing so, he develops a rival in his colleague Brad Chase, who has been assigned to the office partly to keep an eye on the increasingly eccentric (and possibly senile) Denny Crane. Though his questionable conduct might make him a few enemies along the way, Alan's not one to be underestimated, nor will he let trivial things like honesty or integrity get in the way of winning a case."
4998350,The Deuce,60.0,Drama            ,8.1,24801,    A look at life in New York City during the 1970s and '80s when porn and prostitution were rampant in Manhattan.,"James Franco, Maggie Gyllenhaal, Lawrence Gilliard Jr., Margarita Levieva",2017,2019,25,3,Home Box Office,Drama,"Based in 1970s New York, this show gives a raw and gritty portayal of the prostitution business that was so publicly executed at that time. As a result of police crack-down, the characters are forced to venture towards relatively safer and more discrete forms of the same work."
4428122,Quantico,42.0,"Crime, Drama, Mystery            ",6.7,57123,    A look at the lives of young FBI recruits training at the Quantico base in Virginia when one of them is suspected of being a sleeper terrorist.,"Priyanka Chopra, Jake McLaughlin, Johanna Braddy, Aunjanue Ellis",2015,2018,57,3,Disney-ABC Domestic Television,"Crime ,Drama ,Mystery ,Thriller",A look at the lives of young FBI recruits training at the Quantico base in Virginia when one of them is suspected of being a sleeper terrorist.
3877200,The Missing,60.0,"Crime, Drama, Mystery            ",8.2,21625,"    When Tony and Emily Hughes travel to France with their 5-year-old son Oliver, their family holiday turns into a nightmare when Oliver disappears from a large celebrating crowd in Northern France.","Tchéky Karyo, Anastasia Hille, David Morrissey, Keeley Hawes",2014,2016,16,2,Starz!,"Crime ,Drama ,Mystery","""The Missing"" follows Tony, played by James Nesbitt, as a man devastated by the abduction of his young son, Oliver, during a family vacation in France. He becomes a man obsessed, unable to accept that his child may be dead and spends years searching for him. Tony's exhaustive search fractures his marriage to Emily, played by Frances O' Connor and threatens to destroy his life. Tcheky Karyo plays Julien, the French police detective who launched the initial search for the child. Even though he is retired in present day, he too cannot shake the small belief that the child may still be alive. Told using a fascinating narrative puzzle, ""The Missing"" explores the impact of a child's abduction, the emotional cost of obsession, hope and finding when to let go. This gripping thriller is told simultaneously over multiple time frames and set in France and London."
5712554,The Grand Tour,60.0,"Comedy, Talk-Show            ",8.7,63601,"    Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.","Jeremy Clarkson, James May, Richard Hammond, Abbie Eaton",2016,2020,40,4,None,"Comedy ,Talk-Show","Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world."
4591680,Bunk'd,30.0,"Comedy, Family            ",5.4,2472,"    Emma, Ravi, and Zuri Ross head off to a rustic summer camp in Maine, where their parents met as teens. Along with their new friends, love triangle, and the fears of the camp, the trio tries their best to settle into their exciting and challenging new lives at Camp Kikiwaka.","Miranda May, Peyton List, Karan Brar, Skai Jackson",2015,2021,97,5,Disney Channel,"Comedy ,Family","Emma, Ravi, and Zuri Ross head off to a rustic summer camp in Maine, where their parents met as teens. Along with their new friends, love triangle, and the fears of the camp, the trio tries their best to settle into their exciting and challenging new lives at Camp Kikiwaka."
9054904,Why Women Kill,,"Comedy, Crime, Drama            ",8.4,11132,"    An anthology series that follows three women in different decades all living in the same house, as they deal with infidelity and betrayals in their marriages.","Lucy Liu, Ginnifer Goodwin, Kirby Howell-Baptiste, Alexandra Daddario",2019, ,20,2,ViacomCBS,"Comedy ,Crime ,Drama","Why Women Kill details the lives of three women living in three different decades: a housewife in the '60s, a socialite in the '80s, and a lawyer in 2019, each dealing with infidelity in their marriages. The series examines how the roles of women have changed, but how their reaction to betrayal - has not."
2543328,TURN,60.0,"Drama, History, War            ",8.1,19493,    A Long Island farmer bands together a group of childhood friends to form an unlikely group of spies who turn the tide in America's fight for independence.,"Jamie Bell, Heather Lind, Samuel Roukin, Daniel Henshall",2014,2017,40,4,American Movie Classics,"Drama ,History ,War","This drama follows Long Island farmer Abe Woodhull, who bands together a group of childhood friends to form The Culper Ring, an unlikely group of spies who turn the tide in America's fight for independence."
9117054,Spinning Out,48.0,"Drama, Sport            ",7.6,10168,"    A figure skating Olympic hopeful's struggle to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.","Kaya Scodelario, January Jones, Willow Shields, Evan Roderick",2020,,10,1,Netflix,"Drama ,Sport","A figure skating Olympic hopeful's struggle to balance love, family and fragile mental health as her dream of winning takes a dizzying hold."
6517102,Castlevania,23.0,"Animation, Action, Adventure            ",8.2,38467,    A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,"Richard Armitage, James Callis, Alejandra Reynoso, Theo James",2017, ,22,3,Netflix,"Animation ,Action ,Adventure ,Fantasy ,Horror","When Lisa Tepes, beloved wife of Vlad Tepes AKA Dracula is acused of witchcraft and burned at the stake by an overzealous bishop, Dracula declares war on the people of Wallachia and unleashes an army of murderous demonic creatures from hell. Luckily, Trevor Belmont, last survivor of the Belmont clan, a disgraced family known for hunting all kinds of monsters, is still in town and agrees to take the fight to the lord of vampires."
4047038,Dirk Gently's Holistic Detective Agency,60.0,"Action, Adventure, Comedy            ",8.3,42725,    Holistic detective Dirk Gently investigates cases involving the supernatural.,"Samuel Barnett, Elijah Wood, Hannah Marks, Jade Eshete",2016,2017,18,2,BBC America,"Action ,Adventure ,Comedy ,Fantasy ,Mystery ,Sci-Fi","Centers on the titular holistic detective who investigates cases involving the supernatural. Based on the ""Dirk Gently's Holistic Detective Agency"" novel series, written by Douglas Adams and published by Simon and Schuster in 1987."
9471404,The Chosen,54.0,"Drama, History            ",9.7,12501,    A charismatic fisherman drowning in debt. A troubled woman wrestling with real demons. A young tax collector ostracized by society. A religious leader questioning his faith tradition.,"Shahar Isaac, Jonathan Roumie, Paras Patel, Noah James",2017, ,9,1,VidAngel Studios,"Drama ,History",A charismatic fisherman drowning in debt. A troubled woman wrestling with real demons. A young tax collector ostracized by society. A religious leader questioning his faith tradition.
0972534,iCarly,30.0,"Comedy, Family, Romance            ",6.6,32605,"    Carly hosts her own home-grown web show, iCarly, Carly and sidekick Sam's regular webcasts ultimately feature everything from comedy sketches and talent contests to interviews, recipes, and problem-solving.","Miranda Cosgrove, Jerry Trainor, Jennette McCurdy, Nathan Kress",2007,2012,95,6,Nickelodeon Network,"Comedy ,Family ,Romance","Carly hosts her own home-grown web show, iCarly. She lives with her twenty-something brother/guardian Spencer and produces her webcasts from a makeshift third-floor loft studio. Grappling with adolescence, she never aimed to gain fame as a rising star/underground celebrity to kids. As events unfold in the pilot, it all happens by accident when a teacher puts her in charge of the school talent show. She and her sassy best bud Sam turn the audition process into a show, which Carly's tech savvy smitten friend Freddie tapes - including their hilarious banter and great chemistry - and posts on the Web without telling the girls. The on-line audience clamors for more, and a pop phenomenon blooms, with Carly and sidekick Sam's regular webcasts ultimately featuring everything from comedy sketches and talent contests to interviews, recipes, and problem-solving."
2262532,The Fosters,60.0,"Drama, Romance            ",7.9,24641,"    Teenager Callie Jacob is placed in a foster home with a lesbian couple and their blend of biological, adoptive, and foster children.","Teri Polo, Sherri Saum, Hayden Byerly, David Lambert",2013,2018,104,5,ABC Family,"Drama ,Romance","Stef Foster and Lena Adams,have a family of adopted, biological, and foster children. Mariana and Jesus are adopted 15-year-old twins and Brandon is Stef's 16-year-old biological son from a previous marriage. Everything is going fine in the house until Callie and Jude arrive. 16-year-old Callie and her 12-year-old brother Jude have been in many different foster homes, but when they are placed with the Fosters, things begin to happen. In this series, the Fosters will deal with many different issue like break-ups, romances, and important life lessons."
6794990,Absentia,60.0,"Crime, Drama, Mystery            ",7.3,12393,"    After being declared dead in absentia, an FBI agent must reclaim her family, identity and innocence when she finds herself the prime suspect in a string of murders.","Stana Katic, Patrick Heusinger, Neil Jackson, Paul Freeman",2017, ,30,3,Sony Pictures Television,"Crime ,Drama ,Mystery ,Thriller","She disappeared. No one heard from her for six years. No one knows what happened to her, not even her. An FBI Agent tracking a Boston serial killer vanishes, and is declared dead. Six years later, she is found in a cabin in the woods, with no memory of what happened during the time she went missing. She comes back to a husband who has remarried, and whose wife is raising her son. She will have to navigate in her new reality, and she will soon find herself implicated in a new series of murders."
4337944,Damien,60.0,"Drama, Horror            ",6.9,7363,"    After discovering his origins, Damien Thorn must cope with life as the Anti-Christ.","Bradley James, Megalyn Echikunwoke, Omid Abtahi, Barbara Hershey",2016,,10,1,A+E Networks,"Drama ,Horror","To bring the end to all God's creation Satan's own Son must rule over all nations as prophesied before.Damien Thorn has to accept his destiny as a latter-day Antichrist.Despite his human nature and emotions, his diabolic origin would eventually prevail."
8324422,PEN15,30.0,Comedy            ,8.0,5929,    The comedic story of middle school seen through the eyes of two 7th grade girls dealing with the awkwardness of being a teenager.,"Maya Erskine, Anna Konkle, Melora Walters, Dylan Gage",2019, ,24,2,CBS Media Ventures,Comedy,The comedic story of middle school seen through the eyes of two 7th grade girls dealing with the awkwardness of being a teenager.
8369840,Another Life,43.0,"Adventure, Drama, Mystery            ",5.0,24470,    Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact.,"Katee Sackhoff, JayR Tinaco, Elizabeth Faith Ludlow, Blu Hunt",2019, ,20,2,Netflix,"Adventure ,Drama ,Mystery ,Sci-Fi ,Thriller","Set in the future, an anomaly from space appears in Earth's orbit and plants a stalk-like object into the ground. Humans attempt to determine what it is, why it's been placed there, and what's going to happen next, but it's taking too long to crack the code so they send a team into space to the source of the object to investigate further."
1610527,Workaholics,22.0,Comedy            ,8.1,45985,"    A single-camera comedy featuring three friends who work together as telemarketers from 9 to 5, and live together from 5 to 9.","Blake Anderson, Adam Devine, Anders Holm, Maribeth Monroe",2011,2017,86,7,Comedy Central,Comedy,"A single-camera comedy featuring three friends who work together as telemarketers from 9 to 5, and live together from 5 to 9."
1225901,90210,60.0,"Comedy, Drama, Romance            ",6.1,42235,"    A Kansas family relocates to Beverly Hills, where their two children adapt to the infamous social drama of West Beverly Hills High.","Shenae Grimes-Beech, Tristan Mack Wilds, AnnaLynne McCord, Jessica Stroup",2008,2013,114,5,The CW Network,"Comedy ,Drama ,Romance","Annie and Dixon Wilson move from Kansas to the very wealthy area of Beverly Hills, and begin attending the famed West Beverly High School in the 90210 zip code. They quickly encounter queen bee Naomi, rebel Silver, troubled Adrianna and others as the drama unfolds in 90210."
7187044,City on a Hill,60.0,"Crime, Drama, Thriller            ",7.5,6627,"    In 1990s Boston, an assistant district attorney and a corrupt yet venerated FBI veteran work together to take on a case that grows to involve, and ultimately subvert, the entire criminal justice system of Boston.","Kevin Bacon, Aldis Hodge, Mark O'Brien, Lauren E. Banks",2019, ,20,2,Showtime Networks,"Crime ,Drama ,Thriller","In the early 1990s, Boston was rife with violent criminals emboldened by local law enforcement agencies in which corruption and racism was the norm - and then it all changed in what was called the ""Boston Miracle."" In this fictional account, assistant district attorney Decourcy Ward comes from Brooklyn and forms an unlikely alliance with a corrupt yet venerated FBI veteran, Jackie Rohr. Together, they take on a family of armored car robbers in a case that grows to involve, and ultimately subvert, the entire criminal justice system of Boston."
0460091,My Name Is Earl,22.0,Comedy            ,7.7,95105,"    A ne'er do well wins $100,000 in the lottery and decides to right all the wrongs from his past with his newfound realization.","Jason Lee, Ethan Suplee, Jaime Pressly, Nadine Velazquez",2005,2009,96,4,National Broadcasting Company,Comedy,"Earl is a low-life who buys a winning lottery ticket, only to get hit by a car, losing the ticket in the process. He then realizes in the hospital that his bad luck is the result of karma in which fate punishes him for all the rotten things he's ever done in his life; therefore, he then decides to dedicate his life to making amends to all the people he has hurt in his life."
2281375,Nashville,43.0,"Drama, Music, Romance            ",7.7,23064,"    Follows the lives and tragedies of rising and fading country music stars in Nashville, Tennessee.","Hayden Panettiere, Clare Bowen, Charles Esten, Jonathan Jackson",2012,2018,124,6,American Broadcasting Company,"Drama ,Music ,Romance","Set against the backdrop of the Nashville music scene, the new drama revolves around a 40-year-old superstar Rayna Jaymes, whose star begins fading. She is forced to team up with Juliette Barnes on tour in order to maintain her label's support for her latest record, whose sales have been underwhelming."
7821582,Truth Be Told,45.0,"Crime, Drama, Thriller            ",7.1,5767,    A true-crime podcaster tries to solve the mystery surrounding a family patriarch's death.,"Octavia Spencer, Lizzy Caplan, Michael Beach, Mekhi Phifer",2019, ,16,2,Apple TV+,"Crime ,Drama ,Thriller","True crime podcaster Poppy Parnell is called to investigate the case of convicted killer Warren Cave, a man she incriminated after he murdered the father of two identical twins. Soon, Parnell must decide where the lines between guilty and innocent lie when Cave confesses to the fact that he was framed for the crime."
9848536,We Are Who We Are,,Drama            ,7.1,5169,    Two American teenagers come of age while living on an American military base in Italy.,"Jack Dylan Grazer, Jordan Kristine Seamón, Chloë Sevigny, Alice Braga",2020,,8,1,Fremantle,Drama,Two American teenagers come of age while living on an American military base in Italy.
7765404,Wayne,30.0,"Action, Comedy            ",8.4,9878,"    Wayne, a 16 year-old Dirty Harry with a heart of gold, sets out on a small two stroke road bike from Boston to Florida with his new friend Del to get back the shit-hot 79' Trans-Am that was stolen from his father before he died.","Mark McKenna, Ciara Bravo, Joshua J. Williams, Stephen Kearin",2019,,10,1,YouTube Premium,"Action ,Comedy","Wayne, a 16 year-old Dirty Harry with a heart of gold, sets out on a small two stroke road bike from Boston to Florida with his new friend Del to get back the shit-hot 79' Trans-Am that was stolen from his father before he died. An action comedy, it's John Wick via John Hughes."
9446688,I Am Not Okay with This,30.0,"Comedy, Sci-Fi            ",7.6,40263,"    Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her.","Sophia Lillis, Wyatt Oleff, Sofia Bryant, Kathleen Rose Perkins",2020,,7,1,Netflix,"Comedy ,Sci-Fi","Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her."
3339966,Unbreakable Kimmy Schmidt,30.0,Comedy            ,7.6,63333,    A woman is rescued from a doomsday cult and starts life over again in New York City.,"Ellie Kemper, Jane Krakowski, Tituss Burgess, Carol Kane",2015,2019,51,4,Netflix,Comedy,"After being rescued from an underground bunker in which she lived the past fifteen years, Kimmy Schmidt decides to move to New York City to have a normal life. She makes friends with her new roommate Titus, and works as a babysitter for Jacqueline Voorhees, the wife of a billionaire with many issues. Even though many obstacles are thrown her way, Kimmy makes the best of her new life while having to adapt to the new world around her."
1587678,Happy Endings,22.0,"Comedy, Romance            ",7.7,34313,"    This Chicago-set sitcom follows the intertwined lives of six young urbanites trying to learn the ropes of adulthood. Through breakups and whatever other curve-balls life throws them, the pals stick together.","Eliza Coupe, Elisha Cuthbert, Zachary Knighton, Adam Pally",2011,2020,58,3,American Broadcasting Company,"Comedy ,Romance","A raucous comedy about six dysfunctional thirty-something friends living in Chicago: shop owner Alex and her ex-fiance, Dave, who runs a food truck; crazy-in-love husband and wife duo Brad and Jane; Max, their perpetually unemployed friend, and singleton Penny, always in pursuit of the right guy."
1353056,RuPaul's Drag Race,63.0,"Game-Show, Reality-TV            ",8.4,15291,    RuPaul searches for America's next drag superstar.,"RuPaul, Michelle Visage, Santino Rice, Jason Carter",2009, ,171,13,Logo,"Game-Show ,Reality-TV","Join RuPaul, the most famous drag queen in the world, as the host, mentor and inspiration on RuPaul's Drag Race, the ultimate in drag queen competitions. Playing a dual role, RuPaul reigns supreme in all judging and eliminations, while RuPaul, the man, helps guide the contestants as they prepare for each challenge. Contestants include the nation's most outrageous, cutting-edge, talented and stunningly gorgeous drag queens all fighting for the title (and tiara) as top drag queen of the land. Working with our contestants are top models, designers and American idols all rolled up into one. Each week, through the trials and tribulations of glam, glitter and show-stopping performances, one drag queen is eliminated until reaching the next superstar drag queen of America."
4384086,Life in Pieces,22.0,Comedy            ,8.0,12753,    A family comedy told through the separate stories of different family members.,"Colin Hanks, Betsy Brandt, Thomas Sadoski, Zoe Lister-Jones",2015,2019,79,4,CBS,Comedy,A family comedy told through the separate stories of different family members.
5536400,Man with a Plan,30.0,Comedy            ,7.0,8653,    A dad finds out that parenting is harder than he thought after his wife goes back to work and he's left at home to take care of the kids.,"Matt LeBlanc, Liza Snyder, Matt Cook, Grace Kaufman",2016,2020,69,4,CBS,Comedy,Adam Burns (Matt Leblanc) thinks that taking care of childrens is piece of cake and tells his wife Andi (Liza Snyder) that she can get back to her job and he'll manage the children but what will happen when he looks after his children is a fun rollercoaster ride to watch.
8787802,Away,,"Drama, Romance, Sci-Fi            ",6.6,20162,    An American astronaut struggles with leaving her husband and daughter behind to embark on a dangerous mission with an international space crew.,"Hilary Swank, Josh Charles, Vivian Wu, Mark Ivanir",2020,,10,1,Netflix,"Drama ,Romance ,Sci-Fi",An American astronaut struggles with leaving her husband and daughter behind to embark on a dangerous mission with an international space crew.
2583620,The Twilight Zone,60.0,"Drama, Fantasy, Horror            ",5.8,12896,"    An updated version of the classic anthology series featuring various tales of science fiction, mystery, and horror.","Jordan Peele, David Epstein, Kelly Ann Woods, Mark Silverman",2019, ,20,2,CBS All Access,"Drama ,Fantasy ,Horror ,Mystery ,Sci-Fi ,Thriller","An updated version of the classic anthology series featuring various tales of science fiction, mystery, and horror."
5580540,Santa Clarita Diet,30.0,"Comedy, Horror            ",7.8,57088,"    Sheila and Joel are married real estate agents in Santa Clarita, California. When Sheila dies, their lives take a dark turn.","Drew Barrymore, Timothy Olyphant, Liv Hewson, Skyler Gisondo",2017,2019,30,3,Netflix,"Comedy ,Horror","Sheila and Joel are married real estate agents in Santa Clarita, California. When Sheila dies, their lives take a dark turn."
10062292,Never Have I Ever,30.0,Comedy            ,7.9,23972,"    The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.","Maitreyi Ramakrishnan, Darren Barnet, Poorna Jagannathan, Richa Moorjani",2020, ,14,2,Netflix,Comedy,"The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood."
2211129,The Mindy Project,30.0,Comedy            ,7.4,28550,"    A young Ob/Gyn doctor balances her personal and professional life, surrounded by quirky co-workers in a small office.","Mindy Kaling, Ike Barinholtz, Ed Weeks, Chris Messina",2012,2017,117,6,20th Century Fox Television,Comedy,"A young Ob/Gyn doctor balances her personal and professional life, surrounded by quirky co-workers in a small office."
7082442,Everyone Is Doing Great,37.0,Comedy            ,7.0,1322,"    Seth and Jeremy enjoyed relative success from 'Eternal', a hit television vampire drama. Five years after their show has ended, they lean on each other as they struggle to reclaim their ...                See full summary »
","James Lafferty, Stephen Colletti, Alexandra Park, Cariba Heine",2018, ,8,1,Hulu,None,"Seth and Jeremy enjoyed relative success from 'Eternal', a hit television vampire drama. Five years after their show has ended, they lean on each other as they struggle to reclaim their previous level of success and relevance, awkwardly navigating the perils of life and love amidst a humorously painful coming of age."
